This line must be output as it is the shortest in the file.
All other lines are longer that the first one and must be output.
All other lines are longer that the first one and must be output.
All other lines are longer that the first one and must be output.
All other lines are longer that the first one and must be output.
All other lines are longer that the first one and must be output.
All other lines are longer that the first one and must be output.
All other lines are longer that the first one and must be output.
All other lines are longer that the first one and must be output.
All other lines are longer that the first one and must be output.
All other lines are longer that the first one and must be output.
All other lines are longer that the first one and must be output.
All other lines are longer that the first one and must be output.
All other lines are longer that the first one and must be output.
All other lines are longer that the first one and must be output.
All other lines are longer that the first one and must be output.
All other lines are longer that the first one and must be output.
All other lines are longer that the first one and must be output.
All other lines are longer that the first one and must be output.
All other lines are longer that the first one and must be output.
All other lines are longer that the first one and must be output.
All other lines are longer that the first one and must be output.
All other lines are longer that the first one and must be output.
All other lines are longer that the first one and must be output.
All other lines are longer that the first one and must be output.
All other lines are longer that the first one and must be output.
All other lines are longer that the first one and must be output.
All other lines are longer that the first one and must be output.
All other lines are longer that the first one and must be output.
All other lines are longer that the first one and must be output.
